,sharpe,treynor,lifetime,information-ratio,standard_deviation,downside_deviation,variacao,equity,captacao_liquida,cotistas
2017-03-15,-4.619755764253893,-0.07572444351829426,22.0,-0.2507093114842986,0.011223321020382256,0.012242190798670295,5845040.651509379,8483495.72,8800000.0,4.0
2017-03-16,-2.165517726283817,-0.021645877357636754,23.0,2.410087455297782,0.012660415134006342,0.011483513706300477,11568539.922413107,8705896.52,8800000.0,4.0
2017-03-17,-3.762446595588206,-0.03834721529189142,24.0,2.639541609562436,0.012955129080313503,0.013408580475035575,22653184.973998964,8518883.55,8800000.0,4.0
2017-03-20,-2.055264429163333,-0.025567289708151426,27.0,3.642800067958408,0.014031530497773852,0.013953828775711484,171869562.43881288,8700925.94,8800000.0,4.0
2017-03-21,-4.290608101026789,-0.05962932690671956,28.0,2.7072328662522565,0.015074477639413122,0.015972999850021027,333936493.76602405,8383684.32,8800000.0,4.0
2017-03-22,-4.61235749297773,-0.05201511267707409,29.0,1.701852669951478,0.014806336849062482,0.016027714235588384,647749708.2082517,8355006.56,8800000.0,4.0
2017-03-23,-4.094638706208104,-0.04423110398936719,30.0,2.469003425811734,0.014769291587171456,0.016454814257484702,1261842018.6511881,8728803.19,9100000.0,4.0
2017-03-24,-4.863914136576937,-0.06062407706122001,31.0,1.15033891653723,0.014560194691222862,0.01567320449362245,2445474439.003386,8636547.19,9100000.0,4.0
2017-03-27,-5.060680292395973,-0.06362007565164757,34.0,0.6804746874706529,0.013983977541975112,0.014511463649823414,17804983129.99991,8640820.87,9100000.0,4.0
2017-03-28,-5.246069103204599,-0.06305447586590675,35.0,0.16806453355963816,0.013791287198202835,0.014605912289192531,34493567111.211426,8629908.72,9100000.0,4.0
2017-03-29,-4.672494391255115,-0.06025203011672814,36.0,-0.19477411787511006,0.013788175624560424,0.014948504038547111,67114688875.66027,9007411.13,9400000.0,4.0
2017-03-30,-4.763476814374585,-0.06564840155564272,37.0,0.15349895794414561,0.013615317574431348,0.01454631186336788,130584647458.18463,9007200.77,9400000.0,4.0
