,sharpe,treynor,lifetime,information-ratio,standard_deviation,downside_deviation,variacao,equity,captacao_liquida,cotistas
2019-08-27,0.07273940533131851,0.001254234207449565,22.0,5.764679463034669,0.016663031383848233,0.01953021550423491,11274725.5464986,2849098.04,-168.14999999999964,19.0
2019-08-28,0.7753155010166762,0.012178460151691797,23.0,6.333905895302847,0.016474272638687153,0.0199853271126907,22737140.076702207,2882631.1,-168.14999999999964,19.0
2019-08-29,2.116773764655336,0.039955943901932564,24.0,6.4313541395329565,0.016749687630705296,0.020805476806706094,46375636.679211415,2947833.64,-168.14999999999964,19.0
2019-08-30,3.53959150724782,0.060290545050808546,25.0,8.29908189922353,0.017034424485372637,0.021629413273286543,95757025.82111286,3019203.48,-168.14999999999964,19.0
2019-09-02,3.8002751593168607,0.0662573739047458,28.0,9.742448571712501,0.017077210344300785,0.023151372005644346,844954988.5552709,3032978.77,-168.14999999999964,19.0
2019-09-03,2.750274112089819,0.045753906088864586,29.0,8.277231913133063,0.017179070120163974,0.022223895592107933,1733996935.621863,2983373.67,831.8500000000004,19.0
2019-09-04,2.704818440895344,0.04731570472500548,30.0,5.57196573615398,0.01689839509685848,0.021101618517251643,3556185086.490084,2980640.49,831.8500000000004,19.0
2019-09-05,3.1116568150496473,0.05361107176513269,31.0,5.3367395747718,0.016623602375443775,0.021190334070958175,7315566370.1101265,2998449.39,831.8500000000004,19.0
2019-09-06,2.6373399818601126,0.046917229663453415,32.0,3.5233671675085474,0.016461806184748476,0.020225496897581692,14989699907.020351,2975405.09,831.8500000000004,19.0
2019-09-09,1.1238045643819907,0.020023565643929007,35.0,0.4420821698194248,0.016487767960029636,0.018513756557504073,127391625973.85971,2905082.54,831.8500000000004,19.0
2019-09-10,1.0827120692290786,0.019440757484287526,36.0,0.6409506820319069,0.016253983262482022,0.017885837252896004,257777682832.83536,2903053.06,831.8500000000004,19.0
2019-09-11,2.761623213602378,0.048945175171555506,37.0,2.755522789627945,0.016619741527591953,0.018499768507013327,529008390750.8019,2984408.35,831.8500000000004,19.0
2019-09-12,2.4281516701523578,0.04246052105832036,38.0,1.3673210007440453,0.01643855326162459,0.01787192936768323,1082559966877.413,2967974.98,831.8500000000004,19.0
2019-09-13,1.8057333430321925,0.031175418732309855,39.0,1.280188056333614,0.016326901944684766,0.017330647022201013,2204221092032.9424,2938829.63,831.8500000000004,19.0
2019-09-16,1.5113990207209496,0.02527578279602635,42.0,0.6393514430754843,0.01593247754349031,0.015901059610376318,18558822724354.734,2924030.7,831.8500000000004,19.0
2019-09-17,2.2539425368230908,0.0374205119142138,43.0,0.8589422328446328,0.01582657856992573,0.016108838184082548,37911729806605.36,2957743.38,831.8500000000004,19.0
2019-09-18,2.338841027793246,0.03843956586285193,44.0,1.103992331582657,0.01564146752540121,0.016109702037164407,77488635328850.34,2960962.7,831.8500000000004,19.0
2019-09-19,3.055741723396324,0.05249216230605853,45.0,2.3249947812107425,0.015529500531179442,0.015914808788240642,159245976076764.38,2992632.92,831.8500000000004,19.0
2019-09-20,2.9848575435474967,0.050496302187520214,46.0,1.9478167475023835,0.015360699492796144,0.015528904996141122,327042128657770.2,2988671.87,831.8500000000004,19.0
2019-09-23,2.71674318111466,0.04453024990855074,49.0,1.5798364366996842,0.014906218868814138,0.014780116550544484,2825621134396952.5,2973997.17,831.8500000000004,19.0
2019-09-24,2.8853747516090698,0.047045396665121954,50.0,2.549496921651254,0.014754353582725876,0.014799656677549787,5794862428658172.0,2980549.0,831.8500000000004,19.0
2019-09-25,2.8255395109037997,0.04584361794018182,51.0,1.99353917733093,0.014608835678134941,0.014486467087510965,1.1877975861940444e+16,2977470.65,831.8500000000004,19.0
2019-09-26,3.152027585575203,0.05197886743117562,52.0,1.6764060984288947,0.01447266255570078,0.014538052851739898,2.4401359321293692e+16,2990500.95,831.8500000000004,19.0
2019-09-27,2.772920576077674,0.045332505842877235,53.0,1.3830746404718401,0.014359463524244092,0.014224731193275946,4.9991231292966856e+16,2974533.03,831.8500000000004,19.0
2019-09-30,3.030079190557347,0.04976688562410951,56.0,2.006714866013322,0.01401393693375924,0.013675468944188314,4.3047181015747264e+17,2982719.98,831.8500000000004,19.0
2019-10-01,2.590032287813977,0.041897871338837225,57.0,2.148331989563845,0.013916278547522424,0.013410265506089609,8.804594776013261e+17,2964972.02,831.8500000000004,19.0
2019-10-02,1.2766608429812878,0.020355757793662506,58.0,3.294953079175854,0.01399328461796775,0.013340522070100332,1.7848774789615716e+18,2913563.78,831.8500000000004,19.0
2019-10-03,1.6230185317262218,0.025771182321804153,59.0,3.4253659784729145,0.013884535255410075,0.013399356681875247,3.6271174917043067e+18,2927537.76,2831.8500000000004,19.0
2019-10-04,2.48177124193535,0.03926319202907402,60.0,3.5841302520213,0.013844904155945663,0.013546580823787093,7.414872896359138e+18,2963999.68,2831.8500000000004,19.0
2019-10-07,1.2045637560509777,0.017961566553555852,63.0,3.8959475896139844,0.013833807136458565,0.013747850616893084,6.280060297758068e+19,2913900.28,2831.8500000000004,19.0
2019-10-08,1.0482059260033518,0.016190624755555945,64.0,4.5370790191150805,0.013727623157424672,0.013513380589297536,1.2714297386474681e+20,2907977.86,2831.8500000000004,19.0
2019-10-09,1.7078411179953177,0.026575222104409373,65.0,4.289341101263894,0.013659976656583896,0.01361472184057513,2.585818896473251e+20,2934198.24,2831.8500000000004,19.0
2019-10-10,1.725415456573083,0.026741795684975995,66.0,3.9089350849684426,0.013554612142030678,0.013407828321807808,5.259702199900226e+20,2934960.05,2831.8500000000004,19.0
