,sharpe,treynor,lifetime,information-ratio,standard_deviation,downside_deviation,variacao,equity,captacao_liquida,cotistas
2013-12-17,-0.3763167892558868,-0.00322803963492647,22.0,4.581662567236865,0.014697526635387982,0.015607407696252327,7965811.161551001,2919114.59,3622937.02,1.0
2013-12-18,-0.6152290660906264,-0.003525789007895746,23.0,4.078150793492942,0.014477072497373357,0.01476861430820314,15910739.592332428,2910297.06,3622937.02,1.0
2013-12-19,-0.03742740622228616,-0.00021002878519786703,24.0,3.5575786628361943,0.014175890978724582,0.01489711548333737,31919823.358514223,2935982.61,3622937.02,1.0
2013-12-20,-0.8084307823573879,-0.0042557628003601486,25.0,2.9106240794392932,0.01424991137054531,0.014419512768929365,63695848.5890951,2904801.59,3622937.02,1.0
2013-12-23,0.08696866633744846,0.0004050936692827021,28.0,4.0892708421497455,0.014152174818807924,0.013844674737563508,509483058.92414516,2943363.49,3622937.02,1.0
2013-12-26,0.9470750023911508,0.004497739480623711,31.0,5.472257318424414,0.013543879228847885,0.013021411454333998,4154132743.6902175,2978555.89,3622937.02,1.0
2013-12-27,1.4642266873870873,0.007952958815867035,32.0,6.117031330346048,0.013333460497999166,0.013101119051707941,8424184153.224024,2999370.59,3622937.02,1.0
2013-12-30,1.9210804023163761,0.013139886518103104,35.0,6.361212768677978,0.01274963475766736,0.013269776718952127,70440898885.40747,3015122.96,3622937.02,1.0
2014-01-02,1.114234507549766,0.007455261914386957,38.0,6.877711064214486,0.012472053693850606,0.012166523965178663,589225831662.998,2985328.89,3622937.02,1.0
2014-01-03,5.540514999223383,0.05277555120296633,39.0,8.255184255096834,0.017755557524591993,0.013624502886478311,1242514181268.1672,3300165.5,3687907.02,1.0
2014-01-06,3.201815206772141,0.04154845648633465,42.0,7.120739928947152,0.02433320097329217,0.015417712005624773,11539099737753.58,3239926.44,3817847.02,1.0
2014-01-07,3.0876553643021434,0.04607747584579223,43.0,7.670127549426013,0.024108986724998744,0.015352597329682544,24063564973656.074,3220723.93,3807847.02,1.0
2014-01-08,3.098573933000083,0.04574023559919904,44.0,7.768795444825488,0.02386361111797029,0.014988040271270164,50179839390306.96,3210456.9,3797847.02,1.0
2014-01-09,2.733276083842544,0.04010513040667217,45.0,8.671872311208608,0.02372007514049378,0.014730389519689885,104198944815746.5,3184444.67,3797847.02,1.0
2014-01-10,2.496649524368524,0.03738746680051114,46.0,7.980178992088006,0.02353847316878755,0.014691996790891598,215773898487374.94,3167517.19,3797847.02,1.0
2014-01-13,2.1811343276957267,0.03772244896774827,49.0,7.968524607887753,0.023040685869901843,0.014601000155304161,1908458844251030.8,3143264.59,3797847.02,1.0
2014-01-14,2.149852770201092,0.03908692262227555,50.0,7.706253823964643,0.022830368633080057,0.014277948753834195,3934880502979229.0,3140961.46,3797847.02,1.0
2014-01-15,2.374002201170287,0.043304056950331675,51.0,7.773208221062265,0.02260276945907096,0.014006607239341717,8132809931766897.0,3155870.49,3797847.02,1.0
2014-01-16,2.5060148014339134,0.051822982245063993,52.0,8.527440525387878,0.022387182817818478,0.013728519678183476,1.6832800726925628e+16,3164417.36,3797847.02,1.0
2014-01-17,2.5252667094307215,0.05470552494935209,53.0,9.309591416514712,0.022188169776483052,0.013452570477804805,3.4845297993756536e+16,3165433.06,3797847.02,1.0
2014-01-20,4.273140205138567,0.11162625584220562,56.0,11.638780890269377,0.02197244954784052,0.01340965828179494,3.148969456933248e+17,3280152.57,3797847.02,1.0
2014-01-21,3.10271108032551,0.06966328819484387,57.0,10.094218089850518,0.022124830264804007,0.013677544961769528,6.561530172543425e+17,3205734.31,3797847.02,1.0
2014-01-22,2.8023921733717043,0.07444411107876146,58.0,8.945598973412396,0.02199163546772762,0.013459408611089537,1.362838556795459e+18,3185933.18,3797847.02,1.0
2014-01-23,-1.3055759970564695,-0.04682565506415495,59.0,3.6652797101107173,0.02503966835919855,0.019941809136877202,2.7007998313184026e+18,2904121.09,3797847.02,1.0
2014-01-24,1.7927248162254346,0.08478026174159212,60.0,7.0031933485366995,0.026860548748408517,0.020259479814793917,5.57493715785881e+18,3147970.88,3797847.02,1.0
2014-01-27,2.317817130505074,0.09233950330412548,63.0,8.026847185085845,0.029650135829850086,0.02106717752650825,4.953830297358272e+19,3210978.09,3797847.02,1.0
2014-01-28,3.5108145948466123,0.09462176648822425,64.0,9.502866097589683,0.029575078414002726,0.021086465580084576,1.0509864206535277e+20,3317717.11,3797847.02,1.0
2014-01-29,3.2266894609977577,0.08624569814506862,65.0,9.56799692245606,0.029415655565672594,0.021058028712002623,2.2206726980169253e+20,3292212.63,3797847.02,1.0
2014-01-30,3.211961723326661,0.08812884011287746,66.0,9.901060558818246,0.02921097552701889,0.020759223103390106,4.690656367042808e+20,3290221.35,3797847.02,1.0
2014-01-31,3.0476596017910107,0.08663017045908422,67.0,9.439078590462165,0.029032668600669716,0.02047699865368212,9.884483523449335e+20,3275438.61,3797847.02,1.0
2014-02-03,2.7439383855919046,0.07669503878877874,70.0,10.379847879456891,0.02854809691233866,0.019921959297311893,9.206026416030819e+21,3246185.73,3797847.02,1.0
2014-02-04,2.9796210267560044,0.11685600188220466,71.0,10.039967743716097,0.028344152239610235,0.019693618989107934,1.936985822319533e+22,3265884.64,3797847.02,1.0
2014-02-05,2.897121340011015,0.09551337061467866,72.0,10.380836615122437,0.028168308263735793,0.01944246752251836,4.070722567869547e+22,3258591.98,3797847.02,1.0
2014-02-06,2.545702942479778,0.10883777882936552,73.0,8.914729055579212,0.02803981055502445,0.019228083630041606,8.514302236613043e+22,3258451.21,3827231.24,1.0
2014-02-07,2.484754198067301,0.10577585723383588,74.0,8.651394713496042,0.027866589429667077,0.018991751761500655,1.7793564379945593e+23,3253225.26,3827231.24,1.0
2014-02-10,2.4863964085748815,0.10340918741008889,77.0,8.972586542248024,0.027361953682116934,0.01886735429638207,1.6234460653079967e+24,3301221.76,3877622.6900000004,1.0
2014-02-11,2.6220441447212597,0.1077523300301827,78.0,8.660295414068846,0.02718653253644668,0.01865617605216115,3.3975280869656575e+24,3312577.01,3877622.6900000004,1.0
