,sharpe,treynor,lifetime,information-ratio,standard_deviation,downside_deviation,variacao,equity,captacao_liquida,cotistas
2005-03-23,-4.536837677132436,-0.0701121042496825,22.0,3.3690451553058116,0.009864966095210226,0.010396916223108362,1.3587365316508001e+45,517379855.92,-871206.1799999999,584.0
2005-03-24,-3.932540376774775,-0.07015959410254735,23.0,1.9789176404872153,0.009779547689477626,0.010176596824218273,1.191657493269642e+47,521152343.64,-871206.1799999999,584.0
2005-03-28,-5.081152168737781,-0.10296183288249512,27.0,2.9346527805138605,0.00952196188414311,0.010506903584003628,6.983380355507141e+54,516138264.38,-871206.1799999999,584.0
2005-03-29,-6.562998598707485,-0.14455205639460997,28.0,3.542469049769179,0.009859156287121675,0.01061737489416309,5.967740009441804e+56,507645999.81,-871206.1799999999,584.0
2005-03-30,-7.113118380708373,-0.16335058806817476,29.0,1.0540928307777504,0.009703429665313285,0.010178477464839245,5.08007693338628e+58,505619561.24,-876939.08,584.0
2005-03-31,-5.860540582898035,-0.1282081972726517,30.0,1.4787100978761634,0.009843458873067984,0.01053430539819661,4.379463196489543e+60,512128459.19,-876939.08,584.0
2005-04-01,-5.945376085393848,-0.12508326117257673,31.0,1.1964245170161323,0.00967944438651091,0.010558437813390055,3.7786414336136277e+62,512563164.92,-876939.08,584.0
2005-04-04,-7.544195028871368,-0.15040985378955732,34.0,0.9775723988185923,0.009579908447364213,0.010586447285314092,2.391259161320683e+68,504312376.83,-1476939.08,583.0
2005-04-05,-7.925146220364895,-0.17651298386613046,35.0,2.0500861050294676,0.009441945666820776,0.010221769642138938,2.0286446448123017e+70,502717903.69,-1476939.08,583.0
2005-04-06,-9.192166933965336,-0.19593835367301668,36.0,1.944537267611852,0.009547377945415613,0.01041938681179749,1.6984368604022225e+72,496043280.01,-1476939.08,583.0
2005-04-07,-9.716109669623203,-0.23444205954455163,37.0,0.11098146281647821,0.00942377014279752,0.010071464830020681,1.417108434153092e+74,494324093.76,-1476939.08,583.0
2005-04-08,-9.707631419673717,-0.23211654299104287,38.0,1.370573744500189,0.009307750750790874,0.010133371570908871,1.1847513016591248e+76,495327867.63,-1476939.08,583.0
2005-04-11,-10.862295104625064,-0.25516689843317286,41.0,0.780147291430752,0.009045610543453738,0.009962876007463678,6.86849021184886e+81,490836299.18,-2013186.65,583.0
2005-04-12,-11.749507718851838,-0.2721605328374433,42.0,-0.18386203866082368,0.008993372053410916,0.009688433931313271,5.654713441002014e+83,487147500.56,-2013186.65,583.0
2005-04-13,-11.94502912482634,-0.2764256483649499,43.0,0.6293604259693593,0.008887466151602545,0.009710432480489839,4.656128236561852e+85,487221328.52,-2013186.65,583.0
2005-04-14,-13.602513350272222,-0.31543020326223287,44.0,1.7206751484875198,0.009549400489588012,0.010535384375836683,3.7359820050692306e+87,474626368.11,-2013186.65,583.0
2005-04-15,-14.998438746917637,-0.3341876812042915,45.0,1.096041589422864,0.009767264874608819,0.010890716481039033,2.9432889351973935e+89,465906589.28,-2013186.65,583.0
2005-04-18,-14.77542553992075,-0.3452616934620073,48.0,0.4682249376536803,0.010018431559662158,0.011235843323670076,1.4376343785462246e+95,465154454.67,-2255396.1,582.0
2005-04-19,-12.547624517974734,-0.3058416924765422,49.0,0.23096894415717592,0.010450245933109906,0.011617131405039565,1.1543225456110406e+97,474709250.84,-2255396.1,582.0
2005-04-20,-12.974718014715318,-0.3119894899913402,50.0,1.5355743090138676,0.010343548474416682,0.011339696621696102,9.242442099176247e+98,473361714.88,-2255396.1,582.0
2005-04-22,-13.620434322451363,-0.3209758687104725,52.0,2.172402370916837,0.01014183090488032,0.010827886460093432,5.902808574801007e+102,471547120.91,-2255396.1,582.0
2005-04-25,-13.868633538576672,-0.3255007727363393,55.0,0.6508619815938905,0.009877884339450513,0.010425877543961603,3.001700599991219e+108,472175958.76,-2584761.0500000003,582.0
2005-04-26,-13.120451081909078,-0.30855720525804686,56.0,0.8160588884938992,0.009899655739931226,0.010378590148392052,2.420294457763029e+110,476396959.33,-2584761.0500000003,582.0
